tconst,titleType,primaryTitle,originalTitle,isAdult,startYear,endYear,runtimeMinutes,genres,averageRating,numVotes,score
tt0043745,short,Lion Down,Lion Down,0,1951.0,,7.0,"['Animation', 'Comedy', 'Family']",7.1,459,7.009991574400074
tt0167491,video,Wicked Covergirls,Wicked Covergirls,1,1998.0,,85.0,[],5.7,7,6.796077132149369
tt6574096,tvEpisode,Shadow Play - Part 2,Shadow Play - Part 2,0,2017.0,,22.0,"['Adventure', 'Animation', 'Comedy']",8.5,240,7.684379964151921
tt2262289,movie,The Pin,The Pin,0,2013.0,,85.0,[],7.7,27,6.9213836062002
tt0874027,tvEpisode,Episode #32.9,Episode #32.9,0,2006.0,,29.0,"['Comedy', 'Game-Show', 'News']",8.0,8,6.86908946492511
tt0981201,tvSeries,Favouritism,Favouritism,0,2005.0,2005.0,48.0,[],6.9,7,6.831670352488352
tt0313258,tvMovie,Barefoot in the Park,Barefoot in the Park,0,1982.0,,128.0,[],7.6,180,7.16864108358741
tt0642245,tvEpisode,"Cheese, Cues, and Blood","Cheese, Cues, and Blood",0,1991.0,,23.0,[],8.1,339,7.587806695752203
tt2353837,video,Belladonna's How to... Fuck,Belladonna's How to... Fuck,1,2012.0,,225.0,[],7.5,11,6.86030917994688
tt2447920,movie,Point B,Point B,0,2013.0,,94.0,"['Comedy', 'Sci-Fi']",5.9,48,6.668498928473831
tt0231511,movie,"Two Loves, Two Worlds","Dyo agapes, dyo kosmoi",0,1958.0,,88.0,[],4.8,11,6.736559179946879
tt3101632,movie,Lascados,Lascados,0,2014.0,,89.0,[],4.3,91,6.110231884960159
tt3454828,movie,The Gospel of John,The Gospel of John,0,2014.0,,160.0,[],7.6,606,7.388711620583534
tt0280661,movie,Far from China,Far from China,0,2001.0,,89.0,[],6.8,24,6.826775506668977
tt0346317,tvSeries,Korkeajännitystä - eli sähköä kotiinkuljetettuna,Korkeajännitystä - eli sähköä kotiinkuljetettuna,0,2001.0,,22.0,[],6.5,19,6.804331464464722
tt0119553,movie,Little Shots of Happiness,Little Shots of Happiness,0,1997.0,,83.0,[],6.1,96,6.614074471345388
tt6391206,tvEpisode,Episode #1.1,Episode #1.1,0,2017.0,,47.0,[],7.8,12,6.877901258038385
tt6996794,tvEpisode,The Play: Part 1,The Play: Part 1,0,2018.0,,25.0,"['Comedy', 'Drama']",8.4,68,7.189138731270206
tt0789720,tvEpisode,Croppity Crops,Croppity Crops,0,2006.0,,28.0,[],7.4,17,6.869000825964435
tt0385764,video,The Hustle,The Hustle,0,2003.0,,93.0,[],5.0,53,6.485724124777486
tt0714221,tvEpisode,The Woman Turned to Salt,The Woman Turned to Salt,0,1958.0,,60.0,"['Crime', 'Drama', 'Mystery']",7.2,8,6.842085245515827
tt5112776,tvMovie,Critical Hit!,Critical Hit!,0,2007.0,,7.0,"['Comedy', 'Fantasy']",7.4,13,6.8602239801126075
tt0795105,tvSeries,Ex Wives Club,Ex Wives Club,0,2005.0,,60.0,[],5.0,60,6.449737727291526
tt4060700,tvMovie,Verhängnisvolle Nähe,Verhängnisvolle Nähe,0,2014.0,,90.0,"['Crime', 'Thriller']",5.8,35,6.693084102982011
tt0088240,movie,Tausend Augen,Tausend Augen,0,1984.0,,92.0,"['Drama', 'Thriller']",5.3,82,6.4262836115345685
tt0105559,tvSeries,Tenchi Muyô!,Tenchi Muyô!,0,1992.0,,30.0,"['Adventure', 'Animation', 'Comedy']",7.6,1865,7.515746992926099
tt0374882,tvMovie,Moritz,Moritz,0,2003.0,,87.0,[],6.4,87,6.711310769579908
tt3289322,movie,Bike and Old Electronic Piano,Bike and Old Electronic Piano,0,2015.0,,174.0,[],8.1,14,6.902774498712968
tt2740874,movie,Two: The Story of Roman & Nyro,Two: The Story of Roman & Nyro,0,2013.0,,71.0,"['Biography', 'Documentary', 'Drama']",7.1,37,6.867196252583651
tt7925600,tvEpisode,Zwiespalt,Zwiespalt,0,2018.0,,88.0,[],8.2,10,6.886921352247912
tt6321288,tvEpisode,Abschiede,Abschiede,0,2016.0,,46.0,[],8.5,6,6.872230651860642
tt6005584,tvEpisode,"Even So, Life Goes on #Aftermath","Even So, Life Goes on #Aftermath",0,2016.0,,64.0,"['Comedy', 'Drama', 'Romance']",8.2,12,6.8978182704865185
tt9119838,tvEpisode,Parisian Legend Has It...,Parisian Legend Has It...,0,2019.0,,42.0,[],8.9,263,7.9363296812749
tt1574518,short,A Small Town Duet,A Small Town Duet,0,2009.0,,19.0,"['Drama', 'Short']",7.0,6,6.833932779520216
tt0624466,tvEpisode,The Chase,The Chase,0,1969.0,,50.0,[],7.7,31,6.933362319950966
tt2884148,short,A Boy and His Atom: The World's Smallest Movie,A Boy and His Atom: The World's Smallest Movie,0,2013.0,,2.0,"['Animation', 'Short']",6.8,266,6.813685258964144
tt0446043,movie,Opie Gets Laid,Sunnyvale,0,2005.0,,75.0,"['Comedy', 'Romance']",4.7,230,5.762471030909044
tt0023211,movie,Mensch ohne Namen,Mensch ohne Namen,0,1932.0,,87.0,[],6.4,7,6.816839844013775
tt0075338,movie,Tokyo Emmanuelle fujin,Tokyo Emmanuelle fujin,0,1975.0,,70.0,[],5.3,31,6.64720847379712
tt0037578,movie,Caravan,Caravan,0,1946.0,,117.0,"['Adventure', 'Drama', 'Romance']",6.1,140,6.552775618393634
tt2215304,movie,This Time Tomorrow,This Time Tomorrow,0,2012.0,,82.0,"['Drama', 'Romance']",7.6,21,6.894296812749004
tt6557724,movie,Killer Island,Killer Island,0,2018.0,,86.0,[],4.5,48,6.4258996504954915
tt0605972,tvEpisode,Episode #2.7,Episode #2.7,0,1992.0,,52.0,[],7.5,13,6.865595880939053
tt0218124,tvMovie,Crime and Punishment,Crime et châtiment,0,1971.0,,102.0,[],6.0,5,6.811855569176286
tt0071871,movie,La muerte del escorpión,La muerte del escorpión,0,1976.0,,90.0,"['Crime', 'Thriller']",4.5,11,6.722809179946879
tt4110822,tvEpisode,S.O.S. Part 2,S.O.S. Part 2,0,2015.0,,43.0,"['Action', 'Adventure', 'Drama']",9.4,3820,9.254624401873858
tt2396200,movie,Richard The Lionheart,Richard the Lionheart,0,2013.0,,100.0,"['Action', 'Adventure']",2.3,673,3.449971400429325
tt0336309,tvMovie,Una donna in fuga,Una donna in fuga,0,1996.0,,191.0,[],7.0,5,6.833223090543808
tt8399426,tvEpisode,Savages,Savages,0,2018.0,,58.0,"['Drama', 'Fantasy', 'Romance']",9.0,1428,8.700044781645897
tt0567154,tvEpisode,Dr. Jekyll and Mr. Duke,Dr. Jekyll and Mr. Duke,0,1984.0,,49.0,"['Action', 'Comedy']",7.9,114,7.1853475311581665
tt0847785,tvEpisode,Like It Was,Like It Was,0,2006.0,,43.0,"['Comedy', 'Drama', 'Mystery']",8.1,405,7.641126503449922
tt6852622,tvEpisode,Crickets,Crickets,0,2017.0,,23.0,"['Comedy', 'Reality-TV']",7.9,75,7.093665142063326
tt4148174,tvEpisode,Sabertooth,Sabertooth,0,2012.0,,25.0,"['Action', 'Adventure', 'Animation']",7.8,39,6.970799265624071
tt6036624,tvEpisode,Creepers,Creepers,0,2017.0,,42.0,"['Comedy', 'Crime']",6.8,71,6.822580677290837
tt0667857,tvEpisode,Abaddon,Abaddon,0,2000.0,,44.0,"['Drama', 'Fantasy', 'Horror']",6.5,111,6.721982950550739
tt0602354,tvEpisode,Klink vs. the Gonculator,Klink vs. the Gonculator,0,1968.0,,30.0,"['Comedy', 'War']",8.6,108,7.396956092543772
tt2382804,tvEpisode,Miracle in the Marshes of Iraq,Miracle in the Marshes of Iraq,0,2011.0,,60.0,[],8.3,14,6.914297132457824
tt1250316,tvEpisode,Jobs for the Boys,Jobs for the Boys,0,1982.0,,54.0,[],7.9,46,7.008633466135459
tt0750263,tvEpisode,The Deadly Dolphin,The Deadly Dolphin,0,1978.0,,43.0,"['Action', 'Adventure', 'Drama']",7.5,89,7.017214475431607
tt0173022,short,Portret mezczyzny z medalem,Portret mezczyzny z medalem,0,1959.0,,13.0,[],7.2,13,6.849480178459714
